Subsystem	Original evidence	Exact semantics	Android implementation	Status	Test	Evidence path	Remaining unknowns
Client executable provenance	VSRO-R Client.7z -> GameClient.exe (11,845,632 B) + edxSilkroadDll5.dll + GFXFileManager.dll; PE/MZ; string-level RTTI + source paths	Recovered previously-unavailable client binary; static inspection only (never executed)	None (forensic source only)	PROVEN	Phase29SourceEvidenceTest	/tmp/opencode/client_bin/gc_strings.txt; phase29_source_evidence.json	Disassembly-level method logic (only symbols recovered)
Server package provenance	Package Server.7z -> SR_GameServer.exe (9,576,448 B) + SR_ShardManager.exe + GatewayServer.exe + AgentServer.exe + GlobalManager/MachineManager/DownloadServer/FarmManager; server.cfg; SR_GameRefData/*	Recovered previously-absent server package; static inspection only	None (forensic source only)	PROVEN	Phase29SourceEvidenceTest	/tmp/opencode/extract/server/*; phase29_source_evidence.json	Disassembly-level method logic (no shipped .pdb files)
Movement walk/run speed	_InsertRefChar: @Speed1/@Speed2 smallint, @Scale int; GameClient.exe "m_nSpeed2" (m_nSpeed1 absent); server PCSpeedRatio/RefreshMoveSpeed/SetMoveMode; position system Pos_RegionID/DestPos_RegionID/LastUpdateTick; MoveTo [%d,(%f,%f,%f)]; coordinate structure RefRegion.txt 21-col + worldmap_mapinfo.txt region/coord bounds + regioncode.txt (CP949) + CurBlockID/DestBlockID/CurPosRegionX/Z	Speed columns + speed symbols + position system + coordinate structure PROVEN; movement formula + world-units conversion UNKNOWN	PlayerMover/PlayerMovementConfig stay fail-closed (UNKNOWN_SPEED)	PARTIAL	Phase29SourceEvidenceTest, PlayerMoverTest	phase29_source_evidence.json; /tmp/opencode/vsro_db/SRO_VT_SHARD.Bak	movement formula + world-units/tick conversion + PCSpeedRatio base
Input key->action semantics	Media.pk2 config/command.txt: 47 debug commands; client RTTI CIFOption_Input + CIFEInputChatBox	Debug command map PROVEN; key->action binding still client-code (SROptionSet.dat binary)	InputController gesture accumulator	PARTIAL	Phase29SourceEvidenceTest, InputControllerTest	phase29_source_evidence.json; SROptionSet.dat	Default key/action binding + action-id enum
Camera semantics	config/cameradata.txt: 2 region-keyed presets (8 unlabeled params); client CCameraSlid/CCameraWorking/SC_Camera*	Camera preset file + classes PROVEN; column semantics + numeric params UNKNOWN	Camera2D generic viewport clamp	PARTIAL	Phase29SourceEvidenceTest, Camera2DTest	phase29_source_evidence.json; cameradata.txt	Numeric camera params + follow/interpolation
Network / connection protocol	proxy_cfg.ini: CL_VERSION=188, CL_GW_PORT=15779; client RecMsg.dat + MSGID:0x%X + 51 SC_* classes (no CS_*); server MsgSender/SendMsg + OnSR_RELAY_MSG_SM_TO_GS; message dispatch: client MsgStreamBuffer.h/NetEngine::MsgPool/m_MsgList, server CGame::ProcessMessage()/Unhandled Game SR_MSG/INVALID_MSG_*/DumpMsgPool; VSROProxy.exe = .NET admin tool; Features/MALICIOUS_OPCODES.txt (38 opcodes)	Architecture + protocol constants + SC_* classes + MsgID-keyed dispatch PROVEN; opcode->field layout UNKNOWN (RecMsg.dat/SendMsg.dat MISSING); proxy opcodes NOT gameplay protocol	None (offline native runtime)	PARTIAL	Phase29SourceEvidenceTest	phase29_source_evidence.json; proxy_cfg.ini	Opcode->message mapping + packet layout (RecMsg.dat/SendMsg.dat)
Combat stat / status schema	_InsertRefChar: PD/MD/PAR/MAR/ER/BR/HR/CHR, Knockdown, KO_RecoverTime, DamagePortion, ExpToGive, CreepType, DefaultSkill_1..10	DB combat/status columns PROVEN (schema); damage formula + cadence UNKNOWN (server code)	None (PlayerController never drives combat)	PARTIAL	Phase29SourceEvidenceTest	phase29_source_evidence.json; SRO_VT_SHARD.Bak	Damage/HP formulas + attack cadence
Player spawn location	SR_ShardManager.exe ODBC {?=CALL _AddNewChar(...)} caller; StartRegionID/StartPos_X/Y/Z caller-supplied; CRefInstanceWorldStartPos/CRefInstanceWorldRegion (data files RefInstanceWorldStartPos.txt/RefInstanceWorldRegion.txt MISSING; config Lua-driven LuaSetInstanceWorldConfig); SR_GameServer CGame::EnterWorld->CGObj::EnterWorld->ResolveCellAndHeight->MoveTo->ActivatePC; _Char.LatestRegion/PosX/Y/Z; _CharInstanceWorldDataUpdate	Caller + caller-supplied params + server pipeline PROVEN; concrete start region/position values + client SC_ObjectCreate packet layout UNKNOWN	PlayerSpawn.unknown() only	UNKNOWN	PlayerSpawnTest, Phase29SourceEvidenceTest	phase29_source_evidence.json	Concrete start values + SC_ObjectCreate packet semantics
Skill semantics	_RefSkill.basic_code PROVEN; skilldata_*.txt raw; _InsertRefChar DefaultSkill_1..10 varchar	Skill default-slot schema PROVEN; effect/cast-time/cooldown UNKNOWN	None	UNKNOWN	Phase29SourceEvidenceTest	phase29_source_evidence.json	Skill effect/cast-time/cooldown semantics
Motion states	SR_GameServer.exe MOTIONSTATE_* enum (19 labels); client SC_ObjectMotionState + SC_ObjectAniToName/Index (separate messages)	19 server motion-state labels PROVEN; semantic mapping to client animation NOT proven (no shared enum/table in corpus)	None (offline runtime)	PARTIAL	Phase29SourceEvidenceTest	phase29_source_evidence.json	Motion-state->animation mapping + transition triggers
