Subsystem	Original evidence	Exact semantics	Android implementation	Status	Test	Evidence path	Remaining unknowns
Player spawn location	SRO_VT_SHARD.Bak _AddNewChar proc: @StartRegionID/@StartPos_X/Y/Z caller-supplied; no spawn/start table in any archive; comment "-- set @StartRegionID=25000"	Start region/position are passed in by GameServer (C++, absent); DB defines no default; exact start UNKNOWN	PlayerSpawn.unknown() only; never placed	UNKNOWN	PlayerSpawnTest	scripts/testdata/formats/phase27_source_evidence.json; /tmp/opencode/vsro_db/SRO_VT_SHARD.Bak	Actual start region+position (GameServer code)
NPC spawn positions	Media.pk2 npcpos.txt -> committed npcpos.tsv	NPC world positions (region+coords)		NpcPosTable + NpcSpawnIndex load npcpos.tsv	PROVEN	NpcSpawnIndexTest, NpcCharacterLinkageTest	android/app/src/main/assets/game/textdata/npcpos.tsv	Heading/facing semantics
Input key->action semantics	Media.pk2 resinfo/ifoption_input.txt, ifkeyoptionslot.txt; SROptionSet.dat (681-byte binary)	Key->action mapping lives in client code; OptionSet has no self-describing action ids	InputController is a gesture accumulator (drag/pinch/joystick), not SRO key map	UNKNOWN	InputControllerTest	scripts/testdata/formats/phase27_source_evidence.json; /tmp/opencode/vsro_client/Setting/SROptionSet.dat	Default key/action binding + action-id enum
Movement walk/run speed	Phase 26 negative proof; only debug /fast, /setspeed; no speed table in Data/Map/Media	Walk/run speed values are client-code, not in shipped data	PlayerMover + PlayerMovementConfig fail closed (UNKNOWN_SPEED)	UNKNOWN	PlayerMoverTest	scripts/testdata/formats/phase27_source_evidence.json	Walk/run speed + acceleration values
Movement direction/projection	WorldCoordinates formula world=(sector-ref)*1920+local; screen +Y->world -Z	Proven coordinate projection and heading-from-direction math	WorldCoordinates, PlayerMover.headingFromDirection	PROVEN	WorldCoordinatesTest, PlayerMoverTest	android/app/src/main/java/com/opensilkroadmap/app/world/WorldCoordinates.java	SRO unit meaning of x/z (meters vs units)
Camera semantics	Media.pk2 resinfo/ifoption_camera.txt: FREE/THIRD_PERSON/QUARTER_VIEW; debug /zoom /camera /setfov	Three camera modes proven by name; distance/FOV/limits are client code	Camera2D is a generic 2D viewport clamp, no authentic SRO camera math	PARTIAL	Camera2DTest	scripts/testdata/formats/phase27_source_evidence.json	Numeric camera params + follow/interp
Animation state vocabulary	Data.pk2 4691 .ban names: stand(504) walk(248) run(273) attack(925) damage(358) die(343) down(131) wakeup(17) sit/pickup/stun/blocking	Proven clip action names across the whole corpus	AnimState enum models IDLE/WALK/RUN/ATTACK/DAMAGE/DEATH/DOWN/WAKEUP	PROVEN	AnimStateResolverTest, Phase28SourceEvidenceTest	scripts/testdata/formats/phase28_source_evidence.json	Full state set (sit/stun/blocking unmodeled)
Animation state machine (transitions)	.ban clips prove states but not transition order; down/downwait/wakeup order is client code	Transition rules unknown	CharacterAnimator: one-shot attack/damage return to idle; death/down/wakeup hold final frame	PARTIAL	CharacterAnimatorTest	android/app/src/main/java/com/opensilkroadmap/app/world/CharacterAnimator.java	down->downwait->wakeup->idle chain; attack chaining
Combat (attack/damage/death triggers)	No damage formula in corpus; server-side	Unknown	PlayerController never drives ATTACK/DAMAGE/DEATH/DOWN/WAKEUP	MISSING	(none)	(server binary, absent)	Damage/HP formulas, attack cadence
Player identity/class	Media.pk2 characterdata_5000.txt: 13 CHAR_CH_MAN_* templates (refid 1907-1919) -> bsr	Player class -> skeleton/mesh binding proven	PlayerIdentity resolves committed "player" key through manifest+skeleton	PROVEN	PlayerIdentityTest, Phase28SourceEvidenceTest	scripts/testdata/formats/phase28_source_evidence.json	Class-to-gameplay attributes (stats/skills)
